statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
105,臺北市萬華區,福星里,5008,25,9,167,36,542,142,111,25,146,10,240,77,330,87,6,199,54,9,2,139,14,3,4
105,臺北市萬華區,萬壽里,3159,10,8,125,17,347,88,95,18,87,6,157,31,199,48,6,119,37,3,3,75,15,2,3
105,臺北市萬華區,西門里,3482,17,11,159,31,410,86,96,13,115,10,130,43,182,54,1,108,26,7,1,84,7,2,1
105,臺北市萬華區,新起里,6010,40,14,290,58,686,181,146,26,185,18,217,69,339,96,8,185,38,11,3,159,23,4,3
105,臺北市萬華區,菜園里,5574,16,7,209,50,568,173,150,38,157,8,218,76,411,103,8,279,53,8,4,212,11,3,5
105,臺北市萬華區,青山里,5330,15,4,125,35,513,161,129,27,154,9,241,73,380,117,5,270,72,5,5,257,26,1,8
105,臺北市萬華區,富民里,4658,14,8,138,27,467,119,111,27,142,11,158,51,329,90,5,221,55,9,3,229,26,4,1
105,臺北市萬華區,福音里,3453,10,3,137,37,392,93,93,19,112,9,138,45,229,56,6,140,20,5,2,100,8,1,6
105,臺北市萬華區,仁德里,4489,35,15,231,45,568,132,131,31,155,12,160,48,244,56,8,117,32,7,1,105,6,4,3
105,臺北市萬華區,富福里,5775,17,8,179,32,583,150,117,28,219,18,309,99,467,141,7,396,93,10,3,288,52,15,16
